Survived,Age,FamilySize,IsAlone,Age*Class,Age*Fare,AgeBand,FareBand,Fare_log,Sex_male,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4179545082979278,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,0.1950464523724704,0.059159876663617626,-1.2316448970959013,0.9585695037936579,-0.2850871853747963,0.11393227053944749,0.44992666177090385,-0.16405229962564447,1,0,1,1,0,0,1,0
1,-0.6071014064143376,-0.5609748304808925,0.8119223343984152,0.0058708068441080796,-0.46880722696405225,0.11393227053944749,-1.3397369794696112,-0.8189865811572414,0,0,1,1,0,1,0,0
0,0.1950464523724704,0.6792945838081278,-1.2316448970959013,0.9585695037936579,-0.17488399587055278,0.11393227053944749,0.44992666177090385,0.16437971416667366,1,0,1,0,0,0,1,0
0,-0.8845360041902262,0.059159876663617626,-1.2316448970959013,-0.3236340056346832,-0.3847222268518073,-1.0945635991111204,0.44992666177090385,-0.029312075627065143,0,0,1,0,1,0,0,1
0,-1.7138242040638059,2.5396987052416584,-1.2316448970959013,-1.3085668690223753,-0.4082224889746596,-2.3030594687616883,1.3447584823911616,0.7678594338107121,1,0,1,0,1,0,0,0
0,-0.6583664951337953,-0.5609748304808925,0.8119223343984152,-0.05501595198349447,-0.47113587048993283,0.11393227053944749,-1.3397369794696112,-0.8131032608653792,1,0,1,0,1,0,1,0
1,1.4525489227262258,0.059159876663617626,-1.2316448970959013,-0.4728662576631214,1.513139242527687,1.3224281401900153,1.3447584823911616,1.4362199751817062,0,0,0,0,0,0,0,1
1,-0.05524780431664641,0.059159876663617626,-1.2316448970959013,-0.20424820401193264,-0.14545686362389432,0.11393227053944749,0.44992666177090385,0.3444394801955362,0,1,0,0,1,0,0,1
0,2.6587863043605235,0.059159876663617626,-1.2316448970959013,0.004676948827880812,1.6615307820485203,2.530924009840583,1.3447584823911616,1.2189504454470093,1,0,0,0,0,0,1,0
1,0.1950464523724704,-0.5609748304808925,0.8119223343984152,-0.9707050504299912,0.0716036144188452,0.11393227053944749,1.3447584823911616,0.6557188297748954,1,0,0,0,1,0,1,0
1,-0.6583664951337953,-0.5609748304808925,0.8119223343984152,-0.6817914105029349,-0.43984817193130116,0.11393227053944749,-0.4449051588493537,-0.5368057694182641,0,1,0,0,1,1,0,0
0,-0.0929427224927182,-0.5609748304808925,0.8119223343984152,0.6165291821444774,-0.44783166690848936,0.11393227053944749,-1.3397369794696112,-0.8823470582632056,1,0,1,0,0,0,1,0
1,-1.864603876768093,1.299429290952638,-1.2316448970959013,-1.6368778234849393,-0.4849587426044605,-2.3030594687616883,0.44992666177090385,0.40928266156909443,0,1,0,0,1,1,0,0
0,-1.4122648586552313,3.779968119530679,-1.2316448970959013,-0.9504094641541236,-0.27684312511966486,-2.3030594687616883,1.3447584823911616,0.936361092700485,1,0,1,0,1,0,0,0
0,-0.5829766587816517,-0.5609748304808925,0.8119223343984152,0.03452339923356845,-0.47376116775029514,0.11393227053944749,-1.3397369794696112,-0.8823470582632056,1,0,1,0,0,0,1,0
1,0.6232607228526461,-0.5609748304808925,0.8119223343984152,-0.8011772121256854,1.1159836814383963,0.11393227053944749,1.3447584823911616,1.4787785499834798,0,0,0,0,1,1,0,0
0,1.1509895773176513,0.059159876663617626,-1.2316448970959013,-0.592252059285872,1.511287474294476,1.3224281401900153,1.3447584823911616,1.5221510751129648,1,0,0,0,1,0,1,0
0,-1.9399937131202367,2.5396987052416584,-1.2316448970959013,-1.577184922673564,-0.4999404183693079,-2.3030594687616883,0.44992666177090385,0.4146557174979072,1,0,1,0,1,0,0,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,-0.9707050504299912,-0.06713483906888953,0.11393227053944749,0.44992666177090385,0.4082334475616762,1,0,0,0,0,0,1,0
1,-1.8970215063995148,0.6792945838081278,-1.2316448970959013,-1.5261474924798382,-0.5230760402993253,-2.3030594687616883,0.44992666177090385,-0.1800831698720664,1,0,1,0,0,0,0,0
1,-0.05524780431664641,-0.5609748304808925,0.8119223343984152,-0.20424820401193264,-0.39349602591851357,0.11393227053944749,-0.4449051588493537,-0.5368057694182641,0,1,0,0,1,0,0,1
0,-0.8091461678380826,-0.5609748304808925,0.8119223343984152,-0.23409465441762028,-0.4759875606493165,-1.0945635991111204,-0.4449051588493537,-0.7718965778779472,1,0,1,0,1,0,1,0
1,-0.9599258405423697,3.1598334123861687,-1.2316448970959013,-0.4131733568517461,-0.4871797829342399,-1.0945635991111204,-0.4449051588493537,-0.798539974052802,0,0,1,0,1,1,0,0
0,-0.28141731337307724,0.6792945838081278,-1.2316448970959013,0.3926808041018201,-0.43724086371808185,0.11393227053944749,-0.4449051588493537,-0.7165619336211217,1,0,1,0,1,0,1,0
0,0.17092170473978444,-0.5609748304808925,0.8119223343984152,-0.025169501577806827,-0.37611397116371825,0.11393227053944749,-0.4449051588493537,-0.5368057694182641,1,1,0,0,1,0,1,0
0,-1.0353156768945133,3.779968119530679,-1.2316448970959013,-0.5027127080688091,-0.14744338416729952,-1.0945635991111204,1.3447584823911616,0.936361092700485,0,0,1,0,1,1,0,0
0,-0.6583664951337953,-0.5609748304808925,0.8119223343984152,-0.6817914105029349,0.2901981277701033,0.11393227053944749,1.3447584823911616,1.3924082286355355,1,1,0,0,1,0,1,0
0,-0.28141731337307724,0.059159876663617626,-1.2316448970959013,0.3926808041018201,-0.35414680627023887,0.11393227053944749,-0.4449051588493537,-0.23166125968823223,1,0,1,0,0,0,1,0
1,0.17092170473978444,-0.5609748304808925,0.8119223343984152,0.9299169114041976,0.43607804315055804,0.11393227053944749,1.3447584823911616,1.1248955097361604,1,0,1,0,1,0,1,0
0,-0.3568071497252209,-0.5609748304808925,0.8119223343984152,0.3031414528847572,-0.45598865134646827,0.11393227053944749,-1.3397369794696112,-0.830854756854953,1,0,1,0,1,0,1,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.42070459436433677,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,1,0,1,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4179545082979278,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
1,-2.178979494356532,0.6792945838081278,-1.2316448970959013,-1.8857972198683743,-0.5482404581371567,-2.3030594687616883,0.44992666177090385,0.4532263111425748,1,1,0,0,1,0,0,0
1,0.020142032035497207,-0.5609748304808925,0.8119223343984152,0.7508382089700717,-0.3550071903900382,0.11393227053944749,-0.4449051588493537,-0.37316263612134226,0,0,1,0,1,1,0,0
0,-0.5829766587816517,-0.5609748304808925,0.8119223343984152,0.03452339923356845,-0.4522639253275835,0.11393227053944749,-0.4449051588493537,-0.6811127586453682,1,0,1,0,1,0,1,0
1,-0.05524780431664641,-0.5609748304808925,0.8119223343984152,0.6612988577530088,-0.4094985525181664,0.11393227053944749,-0.4449051588493537,-0.6307359423566569,1,0,1,0,1,0,1,0
1,-0.6071014064143376,-0.5609748304808925,0.8119223343984152,0.0058708068441080796,-0.4683586044079999,0.11393227053944749,-1.3397369794696112,-0.8145709511162281,0,0,1,1,0,1,0,0
0,-0.13063764066879002,-0.5609748304808925,0.8119223343984152,-1.0996417161825618,0.16620613718589647,0.11393227053944749,1.3447584823911616,0.940663265248102,1,0,0,0,1,0,1,0
1,-0.9599258405423697,-0.5609748304808925,0.8119223343984152,-0.920563013748436,-0.46302424493769495,-1.0945635991111204,-0.4449051588493537,-0.5368057694182641,0,1,0,0,1,1,0,0
1,0.24631154109192804,1.299429290952638,-1.2316448970959013,1.0194562626212604,-0.2728976745959573,0.11393227053944749,0.44992666177090385,-0.1423794216910609,0,0,1,0,1,0,0,1
0,-1.0353156768945133,1.9195639980971482,-1.2316448970959013,-0.5027127080688091,-0.2580263610835213,-1.0945635991111204,1.3447584823911616,0.6233938271906204,1,0,1,0,1,0,1,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4179545082979278,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
1,-0.507586822429508,2.5396987052416584,-1.2316448970959013,-1.248873968211,2.7763837689678943,0.11393227053944749,1.3447584823911616,2.6987007794454887,0,0,0,0,1,1,0,0
0,-0.43219698607736445,-0.5609748304808925,0.8119223343984152,0.21360210166769428,-0.45491261938545713,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,-0.05524780431664641,-0.5609748304808925,0.8119223343984152,0.6612988577530088,-0.43270221608766307,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,-0.7337563314859389,-0.5609748304808925,0.8119223343984152,-0.14455530320055737,-0.47484183492590754,-1.0945635991111204,-1.3397369794696112,-0.806763380796033,1,0,1,0,1,0,1,0
0,1.226379413669795,0.059159876663617626,-1.2316448970959013,-0.5624056088801843,0.9913019267766182,1.3224281401900153,1.3447584823911616,1.2056809915054134,1,0,0,0,1,0,1,0
0,-0.28141731337307724,1.299429290952638,-1.2316448970959013,0.3926808041018201,-0.2663311205774791,0.11393227053944749,0.44992666177090385,0.11284358066326507,1,0,1,0,1,0,1,0
0,2.206447286247662,-0.5609748304808925,0.8119223343984152,3.347479394264896,-0.3254852878699889,1.3224281401900153,-1.3397369794696112,-0.8797405693934278,1,0,1,0,1,0,1,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4179545082979278,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,3.1111253224733852,-0.5609748304808925,0.8119223343984152,0.18375565126200663,0.7961804712529933,2.530924009840583,1.3447584823911616,0.6315110816648204,1,0,0,0,0,0,1,0
1,-0.507586822429508,0.059159876663617626,-1.2316448970959013,-1.248873968211,0.24259938493520275,0.11393227053944749,1.3447584823911616,1.241316266924983,1,0,0,0,0,0,1,0
1,0.3217013774440717,0.059159876663617626,-1.2316448970959013,0.09421630004494372,-0.13000614828629845,0.11393227053944749,0.44992666177090385,0.2228261499229997,0,1,0,0,1,0,0,1
0,0.3217013774440717,0.059159876663617626,-1.2316448970959013,0.09421630004494372,-0.07372139955648495,0.11393227053944749,0.44992666177090385,0.3444394801955362,1,1,0,0,1,0,1,0
0,-0.13063764066879002,-0.5609748304808925,0.8119223343984152,0.5717595065359459,-0.43952679705227915,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,0,0,1,0,1,1,0,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.42070459436433677,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,1,0,1,0
0,-0.6583664951337953,0.059159876663617626,-1.2316448970959013,-1.3085668690223753,0.33408781602596144,0.11393227053944749,1.3447584823911616,1.443609675522841,1,0,0,0,1,0,1,0
0,0.24631154109192804,-0.5609748304808925,0.8119223343984152,1.0194562626212604,-0.4039315494197782,0.11393227053944749,-0.4449051588493537,-0.7174492400289059,1,0,1,0,1,0,1,0
0,0.5478708865005025,0.6792945838081278,-1.2316448970959013,1.377613667489512,-0.39971769789820627,0.11393227053944749,-0.4449051588493537,-0.798539974052802,1,0,1,0,1,0,1,0
0,-0.13063764066879002,-0.5609748304808925,0.8119223343984152,0.5717595065359459,-0.43952679705227915,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,1,0,1,0
1,-0.6583664951337953,-0.5609748304808925,0.8119223343984152,-0.05501595198349447,-0.4728740759654123,0.11393227053944749,-1.3397369794696112,-0.830854756854953,0,0,1,0,1,1,0,0
1,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4228590067950904,0.11393227053944749,-1.3397369794696112,-0.8160407306065733,1,0,1,0,1,0,1,0
0,0.6232607228526461,-0.5609748304808925,0.8119223343984152,1.467153018706575,-0.3959568834227829,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,1,0,1,0
1,-0.6071014064143376,0.059159876663617626,-1.2316448970959013,0.0058708068441080796,-0.2726096291171636,0.11393227053944749,0.44992666177090385,0.2711522804976662,0,0,1,1,0,1,0,0
0,1.3017692500219387,-0.5609748304808925,0.8119223343984152,-0.5325591584744966,0.7871041692524273,1.3224281401900153,1.3447584823911616,1.0408277503255374,1,0,0,0,1,0,1,0
0,-1.1484004314227287,0.059159876663617626,-1.2316448970959013,-0.6370217348944034,-0.4458706952265174,-1.0945635991111204,-0.4449051588493537,-0.23166125968823223,0,0,1,0,0,1,0,0
0,-0.5829766587816517,-0.5609748304808925,0.8119223343984152,0.03452339923356845,-0.46379678070457475,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,-0.7337563314859389,0.059159876663617626,-1.2316448970959013,-0.14455530320055737,-0.45309164222066906,-1.0945635991111204,-0.4449051588493537,-0.5992616204389827,0,0,1,0,1,1,0,0
0,-0.9599258405423697,-0.5609748304808925,0.8119223343984152,-0.4131733568517461,-0.4258922581214915,-1.0945635991111204,0.44992666177090385,-0.23138736843472296,0,0,1,0,0,1,0,0
0,-0.6583664951337953,-0.5609748304808925,0.8119223343984152,-0.05501595198349447,-0.4696873659270332,0.11393227053944749,-0.4449051588493537,-0.798539974052802,1,0,1,0,1,0,1,0
0,3.0734304042973135,-0.5609748304808925,0.8119223343984152,4.37718193326112,-0.2600266769084779,2.530924009840583,-1.3397369794696112,-0.8189865811572414,1,0,1,1,0,0,1,0
0,-0.05524780431664641,0.059159876663617626,-1.2316448970959013,-0.20424820401193264,-0.2254694966221586,0.11393227053944749,0.44992666177090385,0.1329851701219792,1,1,0,0,1,0,1,0
0,-0.43219698607736445,0.059159876663617626,-1.2316448970959013,-1.2190275178053123,2.716511805585701,0.11393227053944749,1.3447584823911616,2.6363132839087284,1,0,0,0,0,0,1,0
0,-2.090773385824524,3.1598334123861687,-1.2316448970959013,-1.7562636251076897,-0.5270067607732035,-2.3030594687616883,1.3447584823911616,0.5286989276421437,0,0,1,0,1,1,0,0
0,-0.6583664951337953,0.6792945838081278,-1.2316448970959013,-0.6817914105029349,0.2901981277701033,0.11393227053944749,1.3447584823911616,1.3924082286355355,1,1,0,0,1,0,1,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.4179545082979278,0.11393227053944749,-0.4449051588493537,-0.7841792430073967,1,0,1,0,1,0,1,0
0,0.20861662291585623,0.059159876663617626,-1.2316448970959013,0.004676948827880812,-0.0222368569953053,0.11393227053944749,0.44992666177090385,0.4894379098126231,1,1,0,0,0,0,1,0
1,0.20861662291585623,-0.5609748304808925,0.8119223343984152,0.004676948827880812,-0.3283822969957882,0.11393227053944749,-0.4449051588493537,-0.3336984726090336,0,1,0,0,1,1,0,0
0,1.8294981044869438,0.059159876663617626,-1.2316448970959013,-0.3236340056346832,1.7414755422615513,1.3224281401900153,1.3447584823911616,1.443609675522841,1,0,0,0,1,0,1,0
1,-1.3368750223030879,0.059159876663617626,-1.2316448970959013,-0.8608701129370607,-0.4870829952388751,-2.3030594687616883,-0.4449051588493537,-0.47227211715402734,1,0,1,0,0,0,0,0
0,0.1950464523724704,-0.5609748304808925,0.8119223343984152,0.9585695037936579,-0.42330487029483244,0.11393227053944749,-1.3397369794696112,-0.8189865811572414,1,0,1,1,0,0,1,0
1,-0.43219698607736445,-0.5609748304808925,0.8119223343984152,0.21360210166769428,-0.46694166344928995,0.11393227053944749,-1.3397369794696112,-0.8933844909173265,1,0,1,0,1,0,1,0
1,-0.6071014064143376,0.6792945838081278,-1.2316448970959013,0.0058708068441080796,-0.29404421668193614,0.11393227053944749,0.44992666177090385,0.19484336402527688,0,0,1,0,0,1,0,0
0,1.1509895773176513,-0.5609748304808925,0.8119223343984152,2.0939284772260156,-0.38832279533672925,1.3224281401900153,-1.3397369794696112,-0.9147445967366699,1,0,1,0,1,0,1,0
0,0.24631154109192804,-0.5609748304808925,0.8119223343984152,1.0194562626212604,-0.417741840237531,0.11393227053944749,-1.3397369794696112,-0.8019236166026618,1,0,1,0,0,0,1,0
0,-0.7337563314859389,-0.5609748304808925,0.8119223343984152,-0.14455530320055737,-0.48371716726483227,-1.0945635991111204,-1.3397369794696112,-0.9050797531497118,1,0,1,0,1,0,1,0
0,1.3017692500219387,0.059159876663617626,-1.2316448970959013,2.273007179660141,-0.18546318012302646,1.3224281401900153,0.44992666177090385,-0.2286058134653583,0,0,1,0,1,0,0,1
1,-0.05524780431664641,0.059159876663617626,-1.2316448970959013,-0.20424820401193264,-0.14545686362389432,0.11393227053944749,0.44992666177090385,0.3444394801955362,0,1,0,0,1,0,0,1
0,-0.3568071497252209,-0.5609748304808925,0.8119223343984152,-0.44301980725743373,-0.3821838950463452,0.11393227053944749,-0.4449051588493537,-0.3336984726090336,1,1,0,0,1,0,1,0
0,-0.507586822429508,-0.5609748304808925,0.8119223343984152,-0.5624056088801843,-0.37056639182175444,0.11393227053944749,0.44992666177090385,-0.19287328396337328,1,1,0,0,0,0,1,0
1,-0.8091461678380826,0.6792945838081278,-1.2316448970959013,-1.3682597698337504,-0.28595755727843886,-1.0945635991111204,0.44992666177090385,0.3552168481314282,0,0,0,0,1,1,0,0
0,0.5478708865005025,0.059159876663617626,-1.2316448970959013,-0.831023662531373,0.5226210313485096,0.11393227053944749,1.3447584823911616,1.0620380556287106,1,0,0,0,1,0,1,0
0,-1.0353156768945133,-0.5609748304808925,0.8119223343984152,-0.5027127080688091,-0.48014849347085725,-1.0945635991111204,-0.4449051588493537,-0.6589770356240848,1,0,1,0,1,0,1,0
0,-0.43219698607736445,-0.5609748304808925,0.8119223343984152,-1.2190275178053123,0.4873602917030677,0.11393227053944749,1.3447584823911616,1.4685301291949246,1,0,0,0,0,0,1,0
0,0.4619264730590587,0.6792945838081278,-1.2316448970959013,1.2755388071020604,-0.25983939878787093,0.11393227053944749,0.44992666177090385,-0.1800831698720664,0,0,1,0,0,0,0,1
1,-0.5829766587816517,-0.5609748304808925,0.8119223343984152,0.03452339923356845,-0.4674387350341509,0.11393227053944749,-1.3397369794696112,-0.8189865811572414,0,0,1,0,1,1,0,0
1,-0.43219698607736445,0.059159876663617626,-1.2316448970959013,0.21360210166769428,-0.35161355112838766,0.11393227053944749,0.44992666177090385,-0.1423794216910609,0,0,1,0,1,0,0,1
0,-0.8091461678380826,-0.5609748304808925,0.8119223343984152,-0.23409465441762028,-0.49075276085605896,-1.0945635991111204,-1.3397369794696112,-0.9442940832331417,1,0,1,1,0,0,1,0
0,-0.8845360041902262,-0.5609748304808925,0.8119223343984152,-0.8608701129370607,-0.4472976239690706,-1.0945635991111204,-0.4449051588493537,-0.4507125974257932,1,1,0,0,1,0,1,0
0,-0.8091461678380826,0.6792945838081278,-1.2316448970959013,-0.8011772121256854,-0.1762203414835718,-1.0945635991111204,1.3447584823911616,0.6904870950626278,1,1,0,0,1,0,1,0
